Time,RSteps,X,Y,Z
593.7939,1,-3171.383,-5686.424,1264.882
593.7739,1,-3171.383,-5686.424,1264.882
593.7539,1,-3171.383,-5686.424,1264.882
593.7339,1,-3171.383,-5686.424,1264.882
593.7139,1,-3171.383,-5686.424,1264.882
593.6938,1,-3171.383,-5686.424,1264.882
593.6738,1,-3171.383,-5686.424,1264.882
593.6538,1,-3171.383,-5686.424,1264.882
593.6338,1,-3171.383,-5686.424,1264.882
593.6138,1,-3171.383,-5686.424,1264.882
593.5938,1,-3171.383,-5686.424,1264.882
593.5737,1,-3171.383,-5686.424,1264.882
593.5537,1,-3171.383,-5686.424,1264.882
593.5337,1,-3171.383,-5686.424,1264.882
593.5137,1,-3171.383,-5686.424,1264.882
593.4937,1,-3171.383,-5686.424,1264.882
593.4736,1,-3171.383,-5686.424,1264.882
593.4536,1,-3171.383,-5686.424,1264.882
593.4336,1,-3171.383,-5686.424,1264.882
593.4136,1,-3171.383,-5686.424,1264.882
593.3936,1,-3171.383,-5686.424,1264.882
593.3735,1,-3171.383,-5686.424,1264.882
593.3535,1,-3171.383,-5686.424,1264.882
593.3335,1,-3171.383,-5686.424,1264.882
593.3135,1,-3171.383,-5686.424,1264.882
593.2935,1,-3171.383,-5686.424,1264.882
593.2734,1,-3171.383,-5686.424,1264.882
593.2534,1,-3171.383,-5686.424,1264.882
593.2334,1,-3171.383,-5686.424,1264.882
593.2134,1,-3171.383,-5686.424,1264.882
593.1934,1,-3171.383,-5686.424,1264.882
593.1733,1,-3171.383,-5686.424,1264.882
593.1533,1,-3171.383,-5686.424,1264.882
593.1333,1,-3171.383,-5686.424,1264.882
593.1133,1,-3171.383,-5686.424,1264.882
593.0933,1,-3171.383,-5686.424,1264.882
593.0732,1,-3171.383,-5686.424,1264.882
593.0532,1,-3171.383,-5686.424,1264.882
593.0332,1,-3171.383,-5686.424,1264.882
593.0132,1,-3171.383,-5686.424,1264.882
592.9932,1,-3171.383,-5686.424,1264.882
592.9731,1,-3171.383,-5686.424,1264.882
592.9531,1,-3171.383,-5686.424,1264.882
592.9331,1,-3171.383,-5686.424,1264.882
592.9131,1,-3171.383,-5686.424,1264.882
592.8931,1,-3171.383,-5686.424,1264.882
592.873,1,-3171.383,-5686.424,1264.882
592.853,1,-3171.383,-5686.424,1264.882
592.833,1,-3171.383,-5686.424,1264.882
592.813,1,-3171.383,-5686.424,1264.882
592.793,1,-3171.383,-5686.424,1264.882
592.7729,1,-3171.383,-5686.424,1264.882
592.7529,1,-3171.383,-5686.424,1264.882
592.7329,1,-3171.383,-5686.424,1264.882
592.7129,1,-3171.383,-5686.424,1264.882
592.6929,1,-3171.383,-5686.424,1264.882
592.6729,1,-3171.383,-5686.424,1264.882
592.6528,1,-3171.383,-5686.424,1264.882
592.6328,1,-3171.383,-5686.424,1264.882
592.6128,1,-3171.383,-5686.424,1264.882
592.5928,1,-3171.383,-5686.424,1264.882
592.5728,1,-3171.383,-5686.424,1264.882
592.5527,1,-3171.383,-5686.424,1264.882
592.5327,1,-3171.383,-5686.424,1264.882
592.5127,1,-3171.383,-5686.424,1264.882
592.4927,1,-3171.383,-5686.424,1264.882
592.4727,1,-3171.383,-5686.424,1264.882
592.4526,1,-3171.383,-5686.424,1264.882
592.4326,1,-3171.383,-5686.424,1264.882
592.4126,1,-3171.383,-5686.424,1264.882
592.3926,1,-3171.383,-5686.424,1264.882
592.3726,1,-3171.383,-5686.424,1264.882
592.3525,1,-3171.383,-5686.424,1264.882
592.3325,1,-3171.383,-5686.424,1264.882
592.3125,1,-3171.383,-5686.424,1264.882
592.2925,1,-3171.383,-5686.424,1264.882
592.2725,1,-3171.383,-5686.424,1264.882
592.2524,1,-3171.383,-5686.424,1264.882
592.2324,1,-3171.383,-5686.424,1264.882
592.2124,1,-3171.383,-5686.424,1264.882
592.1924,1,-3171.383,-5686.424,1264.882
592.1724,1,-3171.383,-5686.424,1264.882
592.1523,1,-3171.383,-5686.424,1264.882
592.1323,1,-3171.383,-5686.424,1264.882
592.1123,1,-3171.383,-5686.424,1264.882
592.0923,1,-3171.383,-5686.424,1264.882
592.0723,1,-3171.383,-5686.424,1264.882
592.0522,1,-3171.383,-5686.424,1264.882
592.0322,1,-3171.383,-5686.424,1264.882
592.0122,1,-3171.383,-5686.424,1264.882
591.9922,1,-3171.383,-5686.424,1264.882
591.9722,1,-3171.383,-5686.424,1264.882
591.9521,1,-3171.383,-5686.424,1264.882
591.9321,1,-3171.383,-5686.424,1264.882
591.9121,1,-3171.383,-5686.424,1264.882
591.8921,1,-3171.383,-5686.424,1264.882
591.8721,1,-3171.383,-5686.424,1264.882
591.8521,1,-3171.383,-5686.424,1264.882
591.832,1,-3171.383,-5686.424,1264.882
591.812,1,-3171.383,-5686.424,1264.882
591.792,1,-3171.383,-5686.424,1264.882
591.772,1,-3171.383,-5686.424,1264.882
591.752,1,-3171.383,-5686.424,1264.882
591.7319,1,-3171.383,-5686.424,1264.882
591.7119,1,-3171.383,-5686.424,1264.882
591.6919,1,-3171.383,-5686.424,1264.882
591.6719,1,-3171.383,-5686.424,1264.882
591.6519,1,-3171.383,-5686.424,1264.882
591.6318,1,-3171.383,-5686.424,1264.882
591.6118,1,-3171.383,-5686.424,1264.882
591.5918,1,-3171.383,-5686.424,1264.882
591.5718,1,-3171.383,-5686.424,1264.882
591.5518,1,-3171.383,-5686.424,1264.882
591.5317,1,-3171.383,-5686.424,1264.882
591.5117,1,-3171.383,-5686.424,1264.882
591.4917,1,-3171.383,-5686.424,1264.882
591.4717,1,-3171.383,-5686.424,1264.882
591.4517,1,-3171.383,-5686.424,1264.882
591.4316,1,-3171.383,-5686.424,1264.882
591.4116,1,-3171.383,-5686.424,1264.882
591.3916,1,-3171.383,-5686.424,1264.882
591.3716,1,-3171.383,-5686.424,1264.882
591.3516,1,-3171.383,-5686.424,1264.882
591.3315,1,-3171.383,-5686.424,1264.882
591.3115,1,-3171.383,-5686.424,1264.882
591.2915,1,-3171.383,-5686.424,1264.882
591.2715,1,-3171.383,-5686.424,1264.882
591.2515,1,-3171.383,-5686.424,1264.882
591.2314,1,-3171.383,-5686.424,1264.882
591.2114,1,-3171.383,-5686.424,1264.882
591.1914,1,-3171.383,-5686.424,1264.882
591.1714,1,-3171.383,-5686.424,1264.882
591.1514,1,-3171.383,-5686.424,1264.882
591.1313,1,-3171.383,-5686.424,1264.882
591.1113,1,-3171.383,-5686.424,1264.882
591.0913,1,-3171.383,-5686.424,1264.882
591.0713,1,-3171.383,-5686.424,1264.882
591.0513,1,-3171.383,-5686.424,1264.882
591.0313,1,-3171.383,-5686.424,1264.882
591.0112,1,-3171.383,-5686.424,1264.882
590.9912,1,-3171.383,-5686.424,1264.882
590.9712,1,-3171.383,-5686.424,1264.882
590.9512,1,-3171.383,-5686.424,1264.882
590.9312,1,-3171.383,-5686.424,1264.882
590.9111,1,-3171.383,-5686.424,1264.882
590.8911,1,-3171.383,-5686.424,1264.882
590.8711,1,-3171.383,-5686.424,1264.882
590.8511,1,-3171.383,-5686.424,1264.882
590.8311,1,-3171.383,-5686.424,1264.882
590.811,1,-3171.383,-5686.424,1264.882
590.791,1,-3171.383,-5686.424,1264.882
590.771,1,-3171.383,-5686.424,1264.882
590.751,1,-3171.383,-5686.424,1264.882
590.731,1,-3171.383,-5686.424,1264.882
590.7109,1,-3171.383,-5686.424,1264.882
590.6909,1,-3171.383,-5686.424,1264.882
590.6709,1,-3171.383,-5686.424,1264.882
590.6509,1,-3171.383,-5686.424,1264.882
